"name" "nstrains" "div"
"168" "Mix168" "5" "5.61962"
"169" "Mix169" "5" "6.17803"
"170" "Mix170" "5" "6.99491"
"171" "Mix171" "5" "6.08136"
"172" "Mix172" "5" "7.19027"
"173" "Mix173" "5" "5.45104"
"174" "Mix174" "5" "6.13651"
"175" "Mix175" "5" "5.85734"
"176" "Mix176" "5" "6.5349"
"177" "Mix177" "5" "4.70893"
"178" "Mix178" "5" "7.5138"
"179" "Mix179" "5" "5.09876"
"180" "Mix180" "5" "5.60307"
"181" "Mix181" "5" "6.1723"
"182" "Mix182" "5" "5.61914"
"183" "Mix183" "5" "6.02679"
"184" "Mix184" "5" "5.80097"
"185" "Mix185" "5" "5.21457"
"186" "Mix186" "5" "4.90389"
"187" "Mix187" "5" "6.53907"
"188" "Mix188" "5" "5.91317"
"189" "Mix189" "5" "6.17554"
"190" "Mix190" "5" "6.09599"
"191" "Mix191" "5" "6.27056"
"192" "Mix192" "5" "5.47358"
"193" "Mix193" "5" "5.84927"
"194" "Mix194" "5" "5.96764"
"195" "Mix195" "5" "6.32002"
"196" "Mix196" "5" "6.50264"
"197" "Mix197" "5" "5.07349"
"198" "Mix198" "5" "6.221"
"199" "Mix199" "5" "6.87529"
"200" "Mix200" "5" "7.42299"
"201" "Mix201" "5" "2.10703"
"202" "Mix202" "5" "6.71707"
"203" "Mix203" "5" "5.63429"
"204" "Mix204" "5" "5.58201"
"205" "Mix205" "5" "6.83243"
"206" "Mix206" "5" "5.81587"
"207" "Mix207" "5" "7.40807"
